D2042338,k7042_all_about_animal_adaptations_00057aa/h264_300k.mp4,k7042_all_about_animal_adaptations_00057aa/h264_800k.mp4,k7042_all_about_animal_adaptations_00057aa/h264_1600k.mp4
D2042346,k7122_all_about_meterology_00086aa/H264_300k_chap02.mp4,k7122_all_about_meterology_00086aa/H264_800k_chap02.mp4,k7122_all_about_meterology_00086aa/H264_1600k_chap02.mp4
D2042352,k7093_all_about_plant_adaptation_00091aa/h264_300k.mp4,k7093_all_about_plant_adaptation_00091aa/h264_800k.mp4,k7093_all_about_plant_adaptation_00091aa/h264_1600k.mp4
D2042356,K7112_All_About_Properties_of_Matter_00094AA/H264.mp4,K7112_All_About_Properties_of_Matter_00094AA/H264_800k.mp4,K7112_All_About_Properties_of_Matter_00094AA/H264_1600k.mp4
D2042358,k7113_all_about_properties_of_simple_machines_00098aa/H264_300k.mp4,k7113_all_about_properties_of_simple_machines_00098aa/H264_800K.mp4,k7113_all_about_properties_of_simple_machines_00098aa/H264_1600k.mp4
D2042360,K7062_All_About_Soil_00099AA/H264.mp4,K7062_All_About_Soil_00099AA/H264_800k.mp4,K7062_All_About_Soil_00099AA/H264_1600k.mp4
D2042438,SCC_Clothing_and_Building_Materials_08440AA/H264.mp4,SCC_Clothing_and_Building_Materials_08440AA/H264_800k.mp4,SCC_Clothing_and_Building_Materials_08440AA/H264_1600k.mp4
D2042440,SCC_Solids_and_Liquids_08443AA/H264.mp4,SCC_Solids_and_Liquids_08443AA/H264_800k.mp4,SCC_Solids_and_Liquids_08443AA/H264_1600k.mp4
D2042442,SCC_Properties_of_Materials_08445AA/H264.mp4,SCC_Properties_of_Materials_08445AA/H264_800k.mp4,SCC_Properties_of_Materials_08445AA/H264_1600k.mp4
D2042446,SCS_Chemical_Reactions_08449AA/H264.mp4,SCS_Chemical_Reactions_08449AA/H264_800k.mp4,SCS_Chemical_Reactions_08449AA/H264_1600k.mp4
D2042450,,AIR_AND_WEATHER_CA/300k.mp4,AIR_AND_WEATHER_CA/800k.mp4
D2042452,,ANIMALS2X2_CA/300k.mp4,ANIMALS2X2_CA/800k.mp4
D2042454,,BALANCE_AND_MOTION_CA/300k.mp4,BALANCE_AND_MOTION_CA/800k.mp4
D2042456,,ENVIRONMENTS_CA/300k.mp4,ENVIRONMENTS_CA/800k.mp4
D2042458,FOOD_Title_01_01/300Kbps.mp4,FOOD_Title_01_01/800k.mp4,FOOD_Title_01_01/1500Kbps.mp4
D2042460,GROW_01_Title_1/300k.mp4,GROW_01_Title_1/800k.mp4,GROW_01_Title_1/1500Kbps.mp4
D2042462,HERE_AND_THERE_Title_01_01/300k.mp4,HERE_AND_THERE_Title_01_01/800k.mp4,HERE_AND_THERE_Title_01_01/1500Kbps.mp4
D2042464,,INSECTS_AND_PLANTS_CA/300k.mp4,INSECTS_AND_PLANTS_CA/800k.mp4
D2042466,,LIVING_SYSTEMS_CA/300k.mp4,LIVING_SYSTEMS_CA/800k.mp4
D2042468,,MAGNETISM_AND_ELECTRICITY_CA/300k.mp4,MAGNETISM_AND_ELECTRICITY_CA/800k.mp4
D2042470,,MATTER_AND_ENERGY_CA/300k.mp4,MATTER_AND_ENERGY_CA/800k.mp4
D2042472,,MIXTURES_AND_SOLUTIONS_CA/300k.mp4,MIXTURES_AND_SOLUTIONS_CA/800k.mp4
D2042474,,PEBBLES_SAND_AND_SILT_CA/300k.mp4,PEBBLES_SAND_AND_SILT_CA/800k.mp4
D2042476,POLLINATION_Title_01_01/300Kbps.mp4,POLLINATION_Title_01_01/800k.mp4,POLLINATION_Title_01_01/1500Kbps.mp4
D2042478,,PLANTS_AND_ANIMALS_CA/300k.mp4,PLANTS_AND_ANIMALS_CA/800k.mp4
D2042480,POLLINATION_Title_01_01/300k.mp4,POLLINATION_Title_01_01/800k.mp4,POLLINATION_Title_01_01/1500Kbps.mp4
D2042482,,SOLIDS_AND_LIQUIDS_CA/300k.mp4,SOLIDS_AND_LIQUIDS_CA/800k.mp4
D2042484,,SOLID_EARTH_CA/300k.mp4,SOLID_EARTH_CA/800k.mp4
D2042486,,STRUCTURES_OF_LIFE_CA/300k.mp4,STRUCTURES_OF_LIFE_CA/800k.mp4
D2042488,,SUN_MOON_STARS_CA/300k.mp4,SUN_MOON_STARS_CA/800k.mp4
D2042490,,TREES_CA/300k.mp4,TREES_CA/800k.mp4
D2042492,,WATER_PLANET_CA/300k.mp4,WATER_PLANET_CA/800k.mp4
D2042494,,WOOD_AND_PAPER_CA/300k.mp4,WOOD_AND_PAPER_CA/800k.mp4
D2042496,,AIR/300k.mp4,AIR/800k.mp4
D2042498,,ANIMALS2X2/300k.mp4,ANIMALS2X2/800k.mp4
D2042500,,BALANCE/300k.mp4,BALANCE/800k.mp4
D2042502,,EARTHMAT/300k.mp4,EARTHMAT/800k.mp4
D2042504,,ENVIRONMENTS/300k.mp4,ENVIRONMENTS/800k.mp4
D2042506,,FABRIC/300k.mp4,FABRIC/800k.mp4
D2042508,,FOOD/300k.mp4,FOOD/800k.mp4
D2042510,,HUMAN/300k.mp4,HUMAN/800k.mp4
D2042512,,IDEASINVENTIONS/300k.mp4,IDEASINVENTIONS/800k.mp4
D2042514,,INSECTS_AND_PLANTS/300k.mp4,INSECTS_AND_PLANTS/800k.mp4
D2042516,,INSECTS/300k.mp4,INSECTS/800k.mp4
D2042518,,LANDFORMS/300k.mp4,LANDFORMS/800k.mp4
D2042520,,LEVERSPULLEY/300k.mp4,LEVERSPULLEY/800k.mp4
